Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
15.0,ter,2021-11-30,18:30,Atalanta,2.5,4–0,0.6,Venezia,8.667,Stadio Atleti Azzurri d'Italia,Alberto Santoro,Relatório da Partida,
15.0,ter,2021-11-30,18:30,Fiorentina,2.9,3–1,0.6,Sampdoria,17.913,Stadio Artemio Franchi,Federico Dionisi,Relatório da Partida,
15.0,ter,2021-11-30,20:45,Hellas Verona,1.3,0–0,0.6,Cagliari,12.188,Stadio Marc'Antonio Bentegodi,Matteo Marcenaro,Relatório da Partida,
15.0,ter,2021-11-30,20:45,Salernitana,0.3,0–2,2.1,Juventus,19.5,Stadio Arechi,Francesco Fourneau,Relatório da Partida,
15.0,qua,2021-12-01,18:30,Inter,2.9,2–0,0.3,Spezia,30.076,Stadio Giuseppe Meazza,Davide Ghersini,Relatório da Partida,
15.0,qua,2021-12-01,18:30,Bologna,0.3,1–0,0.9,Roma,15.78,Stadio Renato Dall'Ara,Luca Pairetto,Relatório da Partida,
15.0,qua,2021-12-01,20:45,Genoa,0.5,0–3,1.2,Milan,14.0,Stadio Comunale Luigi Ferraris,Juan Sacchi,Relatório da Partida,
15.0,qua,2021-12-01,20:45,Sassuolo,0.3,2–2,0.9,Napoli,8.192,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,Relatório da Partida,
15.0,qui,2021-12-02,18:30,Torino,0.7,2–2,1.0,Empoli,7.002,Stadio Olimpico di Torino,Andrea Colombo,Relatório da Partida,
15.0,qui,2021-12-02,20:45,Lazio,1.5,4–4,1.5,Udinese,7.0,Stadio Olimpico,Marco Piccinini,Relatório da Partida,
,,,,,,,,,,,,,
16.0,sáb,2021-12-04,15:00,Milan,2.1,2–0,0.2,Salernitana,43.609,Stadio Giuseppe Meazza,Antonio Giua,Relatório da Partida,
16.0,sáb,2021-12-04,18:00,Roma,0.7,0–3,1.3,Inter,51.185,Stadio Olimpico,Marco Di Bello,Relatório da Partida,
16.0,sáb,2021-12-04,20:45,Napoli,1.1,2–3,1.6,Atalanta,30.0,Stadio Diego Armando Maradona,Maurizio Mariani,Relatório da Partida,
16.0,dom,2021-12-05,12:30,Bologna,0.7,2–3,1.1,Fiorentina,18.175,Stadio Renato Dall'Ara,Massimiliano Irrati,Relatório da Partida,
16.0,dom,2021-12-05,15:00,Venezia,1.5,3–4,2.0,Hellas Verona,7.608,Stadio Pierluigi Penzo,Alessandro Prontera,Relatório da Partida,
